[2023-04-18 14:20:05,612 INFO] Batch size: 64
[2023-04-18 14:20:05,613 INFO] The number of training instances: 1954704
[2023-04-18 14:20:05,613 INFO] 3 GPUs are available. Let's use them.
[2023-04-18 14:20:05,614 INFO] Start training.
/mnt/4T/yev/anaconda3/lib/python3.9/site-packages/torch/nn/parallel/_functions.py:68: UserWarning: Was asked to gather along dimension 0, but all input tensors were scalars; will instead unsqueeze and return a vector.
  warnings.warn('Was asked to gather along dimension 0, but all '
[2023-04-18 14:20:55,392 INFO] Epoch id: 1, Training steps: 100, Avg loss: 1.288
[2023-04-18 14:21:01,193 INFO] Epoch id: 1, Training steps: 200, Avg loss: 1.229
[2023-04-18 14:21:07,085 INFO] Epoch id: 1, Training steps: 300, Avg loss: 1.168
[2023-04-18 14:21:12,696 INFO] Epoch id: 1, Training steps: 400, Avg loss: 1.123
[2023-04-18 14:21:18,302 INFO] Epoch id: 1, Training steps: 500, Avg loss: 1.109
[2023-04-18 14:21:23,924 INFO] Epoch id: 1, Training steps: 600, Avg loss: 1.101
[2023-04-18 14:21:29,652 INFO] Epoch id: 1, Training steps: 700, Avg loss: 1.096
[2023-04-18 14:21:35,328 INFO] Epoch id: 1, Training steps: 800, Avg loss: 1.090
[2023-04-18 14:21:41,036 INFO] Epoch id: 1, Training steps: 900, Avg loss: 1.091
[2023-04-18 14:21:47,105 INFO] Epoch id: 1, Training steps: 1000, Avg loss: 1.081
[2023-04-18 14:21:52,910 INFO] Epoch id: 1, Training steps: 1100, Avg loss: 1.081
[2023-04-18 14:21:58,701 INFO] Epoch id: 1, Training steps: 1200, Avg loss: 1.079
[2023-04-18 14:22:04,411 INFO] Epoch id: 1, Training steps: 1300, Avg loss: 1.073
[2023-04-18 14:22:10,135 INFO] Epoch id: 1, Training steps: 1400, Avg loss: 1.068
[2023-04-18 14:22:15,824 INFO] Epoch id: 1, Training steps: 1500, Avg loss: 1.071
[2023-04-18 14:22:21,554 INFO] Epoch id: 1, Training steps: 1600, Avg loss: 1.065
[2023-04-18 14:22:27,300 INFO] Epoch id: 1, Training steps: 1700, Avg loss: 1.064
[2023-04-18 14:22:32,996 INFO] Epoch id: 1, Training steps: 1800, Avg loss: 1.058
[2023-04-18 14:22:38,713 INFO] Epoch id: 1, Training steps: 1900, Avg loss: 1.056
[2023-04-18 14:22:44,414 INFO] Epoch id: 1, Training steps: 2000, Avg loss: 1.055
[2023-04-18 14:22:50,123 INFO] Epoch id: 1, Training steps: 2100, Avg loss: 1.044
